tweet_id,favorites,retweets,user_followers,user_favourites,date_time
869772420881756160,42982,10367,6600879,132942,2017-05-31 04:27:59
869702957897576449,28644,6529,6600879,132942,2017-05-30 23:51:58
869596645499047938,16216,3236,6600879,132942,2017-05-30 16:49:31
869227993411051520,20756,3919,6600879,132942,2017-05-29 16:24:37
868880397819494401,66650,14994,6600879,132942,2017-05-28 17:23:24
868639477480148993,0,2173,6600879,132942,2017-05-28 01:26:04
868622495443632128,27826,5969,6600879,132942,2017-05-28 00:18:35
868552278524837888,10345,2173,6600879,132942,2017-05-27 19:39:34
867900495410671616,24588,4327,6600879,132942,2017-05-26 00:29:37
867774946302451713,34577,7590,6600879,132942,2017-05-25 16:10:44
867421006826221569,16465,2617,6600879,132942,2017-05-24 16:44:18
867072653475098625,0,131,6600879,132942,2017-05-23 17:40:04
867051520902168576,32849,8187,6600879,132942,2017-05-23 16:16:06
866720684873056260,20512,5024,6600881,132942,2017-05-22 18:21:28
866686824827068416,19744,3628,6600881,132942,2017-05-22 16:06:55
866450705531457537,124643,36665,6600881,132942,2017-05-22 00:28:40
866334964761202691,53744,15080,6600881,132942,2017-05-21 16:48:45
866094527597207552,0,8709,6600881,132942,2017-05-21 00:53:21
865718153858494464,26175,5841,6600881,132942,2017-05-19 23:57:46
865359393868664832,27074,5226,6600881,132942,2017-05-19 00:12:11
865006731092295680,28633,8012,6600881,132942,2017-05-18 00:50:50
864873206498414592,33076,9126,6600881,132942,2017-05-17 16:00:15
864279568663928832,14955,3187,6600881,132942,2017-05-16 00:41:21
864197398364647424,30912,9373,6600881,132942,2017-05-15 19:14:50
863907417377173506,21125,4335,6600881,132942,2017-05-15 00:02:33
863553081350529029,15658,4362,6600881,132942,2017-05-14 00:34:33
863471782782697472,0,2599,6600881,132942,2017-05-13 19:11:30
863432100342583297,24392,5529,6600881,132942,2017-05-13 16:33:49
863427515083354112,2316,102,6600881,132942,2017-05-13 16:15:35
863079547188785154,8971,1154,6600881,132942,2017-05-12 17:12:53
863062471531167744,8776,2599,6600881,132942,2017-05-12 16:05:02
862831371563274240,19682,5318,6600881,132942,2017-05-12 00:46:44
862722525377298433,17517,3707,6600881,132942,2017-05-11 17:34:13
862457590147678208,21105,5219,6600881,132942,2017-05-11 00:01:27
862096992088072192,76709,24465,6600881,132942,2017-05-10 00:08:34
861383897657036800,37095,11246,6600881,132942,2017-05-08 00:54:59
861288531465048066,17690,4382,6600882,132942,2017-05-07 18:36:02
861005113778896900,17210,4005,6600883,132942,2017-05-06 23:49:50
860981674716409858,0,2272,6600883,132942,2017-05-06 22:16:42
860924035999428608,0,858,6600883,132942,2017-05-06 18:27:40
860563773140209665,7725,2272,6600883,132942,2017-05-05 18:36:06
860524505164394496,24315,5553,6600883,132942,2017-05-05 16:00:04
860276583193509888,18846,3658,6600883,132942,2017-05-04 23:34:55
860184849394610176,17185,6156,6600883,132942,2017-05-04 17:30:24
860177593139703809,0,32531,6600883,132942,2017-05-04 17:01:34
859924526012018688,20131,4315,6600884,132942,2017-05-04 00:15:58
859851578198683649,15854,3696,6600884,132942,2017-05-03 19:26:06
859607811541651456,19157,1661,6600884,132942,2017-05-03 03:17:27
859196978902773760,92905,31956,6600884,132942,2017-05-02 00:04:57
859074603037188101,34986,14382,6600884,132942,2017-05-01 15:58:40
858860390427611136,0,8588,6600884,132942,2017-05-01 01:47:28
858843525470990336,16047,3672,6600884,132942,2017-05-01 00:40:27
858471635011153920,22228,5120,6600884,132942,2017-04-30 00:02:42
858107933456039936,16247,3086,6600885,132942,2017-04-28 23:57:28
857989990357356544,16667,2736,6600886,132942,2017-04-28 16:08:49
857746408056729600,35432,11238,6600635,132943,2017-04-28 00:00:54
857393404942143489,6125,1729,6600886,132942,2017-04-27 00:38:11
857263160327368704,20688,4802,6600886,132942,2017-04-26 16:00:39
857214891891077121,238,20,6600886,132942,2017-04-26 12:48:51
857062103051644929,0,179,6600886,132942,2017-04-26 02:41:43
857029823797047296,19591,4256,6600886,132942,2017-04-26 00:33:27
856602993587888130,0,11339,6600886,132942,2017-04-24 20:17:23
856543823941562368,16873,3064,6600886,132942,2017-04-24 16:22:16
856526610513747968,12253,2007,6600886,132942,2017-04-24 15:13:52
856330835276025856,0,720,6600886,132942,2017-04-24 02:15:55
856288084350160898,534,17,6600886,132942,2017-04-23 23:26:03
856282028240666624,28661,6718,6600886,132942,2017-04-23 23:01:59
855862651834028034,363,28,6600886,132942,2017-04-22 19:15:32
855860136149123072,5107,1104,6600886,132942,2017-04-22 19:05:32
855857698524602368,12274,2255,6600886,132942,2017-04-22 18:55:51
855851453814013952,47131,18810,6600886,132942,2017-04-22 18:31:02
855818117272018944,27607,5808,6600886,132942,2017-04-22 16:18:34
855459453768019968,31147,8791,6600886,132942,2017-04-21 16:33:22
855245323840757760,0,6376,6600886,132942,2017-04-21 02:22:29
855138241867124737,0,49,6600886,132942,2017-04-20 19:16:59
854732716440526848,23777,6529,6600886,132942,2017-04-19 16:25:34
854482394044301312,30581,7385,6600886,132942,2017-04-18 23:50:52
854365224396361728,19703,5035,6600886,132942,2017-04-18 16:05:17
854120357044912130,33328,8057,6600887,132942,2017-04-17 23:52:16
854010172552949760,16886,3368,6600887,132942,2017-04-17 16:34:26
853760880890318849,29913,6235,6600887,132942,2017-04-17 00:03:50
853639147608842240,36528,10941,6600887,132942,2017-04-16 16:00:07
853299958564483072,16252,3831,6600887,132942,2017-04-15 17:32:18
852936405516943360,0,2181,6600888,132942,2017-04-14 17:27:40
852912242202992640,9480,1984,6600888,132942,2017-04-14 15:51:39
852672615818899456,15659,2314,6600888,132942,2017-04-13 23:59:28
852553447878664193,17191,3785,6600888,132942,2017-04-13 16:05:56
852311364735569921,34769,10692,6600888,132942,2017-04-13 00:03:59
852226086759018497,21005,7372,6600888,132942,2017-04-12 18:25:07
852189679701164033,12027,1706,6600888,132942,2017-04-12 16:00:27
851953902622658560,0,10423,6600888,132942,2017-04-12 00:23:33
851861385021730816,0,23,6600888,132942,2017-04-11 18:15:55
851591660324737024,17031,3741,6600888,132942,2017-04-11 00:24:08
851464819735769094,25525,7647,6600888,132942,2017-04-10 16:00:07
851224888060895234,21743,6193,6600888,132942,2017-04-10 00:06:42
850753642995093505,32748,10080,6600888,132942,2017-04-08 16:54:09
850380195714523136,13752,2827,6600888,132942,2017-04-07 16:10:12
850333567704068097,3595,362,6600888,132942,2017-04-07 13:04:55
850145622816686080,17224,4139,6600888,132942,2017-04-07 00:38:06
850019790995546112,21593,5315,6600888,132942,2017-04-06 16:18:05
849776966551130114,32151,8260,6600888,132942,2017-04-06 00:13:11
849668094696017920,0,5394,6600888,132942,2017-04-05 17:00:34
849412302885593088,16760,3404,6600888,132942,2017-04-05 00:04:08
849336543269576704,12073,2052,6600888,132942,2017-04-04 19:03:06
849051919805034497,44791,9284,6600888,132942,2017-04-04 00:12:06
848690551926992896,26661,4692,6600888,132942,2017-04-03 00:16:10
848324959059550208,26183,5009,6600888,132942,2017-04-02 00:03:26
848213670039564288,8654,814,6600888,132942,2017-04-01 16:41:12
848212111729840128,17300,3357,6600888,132942,2017-04-01 16:35:01
847978865427394560,0,3555,6600888,132942,2017-04-01 01:08:10
847971574464610304,0,467,6600888,132942,2017-04-01 00:39:12
847962785489326080,24862,5588,6600888,132942,2017-04-01 00:04:17
847842811428974592,5823,1469,6600888,132942,2017-03-31 16:07:33
847617282490613760,7430,457,6600888,132942,2017-03-31 01:11:22
847606175596138505,19862,3680,6600888,132942,2017-03-31 00:27:14
847251039262605312,21638,4671,6600888,132942,2017-03-30 00:56:03
847157206088847362,21199,6390,6600888,132942,2017-03-29 18:43:12
847116187444137987,22721,3486,6600888,132942,2017-03-29 16:00:12
846874817362120707,21304,4292,6600889,132942,2017-03-29 00:01:05
846514051647705089,47487,12692,6600889,132942,2017-03-28 00:07:32
846505985330044928,15029,3390,6600889,132942,2017-03-27 23:35:28
846153765933735936,33739,9900,6600889,132942,2017-03-27 00:15:53
846139713627017216,32719,10727,6600889,132942,2017-03-26 23:20:02
846042936437604353,16991,3145,6600889,132942,2017-03-26 16:55:29
845812042753855489,31146,9573,6600889,132942,2017-03-26 01:38:00
845677943972139009,26685,5227,6600889,132942,2017-03-25 16:45:08
845397057150107648,8110,2002,6600889,132942,2017-03-24 22:08:59
845306882940190720,24800,5900,6600889,132942,2017-03-24 16:10:40
845098359547420673,0,8414,6600889,132942,2017-03-24 02:22:04
844979544864018432,14489,2834,6600889,132942,2017-03-23 18:29:57
844973813909606400,16097,3520,6600889,132942,2017-03-23 18:07:10
844704788403113984,41250,11339,6600889,132942,2017-03-23 00:18:10
844580511645339650,17536,3434,6600889,132942,2017-03-22 16:04:20
844223788422217728,14515,2402,6600889,132942,2017-03-21 16:26:50
843981021012017153,16071,3202,6600889,132942,2017-03-21 00:22:10
843856843873095681,22806,5082,6600889,132942,2017-03-20 16:08:44
843604394117681152,17993,3000,6600889,132942,2017-03-19 23:25:35
843235543001513987,22911,6649,6600889,132942,2017-03-18 22:59:54
842846295480000512,16202,3928,6600889,132942,2017-03-17 21:13:10
842765311967449089,7199,1407,6600889,132942,2017-03-17 15:51:22
842535590457499648,19290,3841,6600890,132942,2017-03-17 00:38:32
842163532590374912,26132,6376,6600890,132942,2017-03-16 00:00:07
842115215311396866,14962,3315,6600890,132942,2017-03-15 20:48:07
841833993020538882,0,16963,6600890,132942,2017-03-15 02:10:39
841680585030541313,27365,8530,6600890,132942,2017-03-14 16:01:03
